文件标志:DAQ
采样率:250000
通道数:2
电压_0,电压_1
1.44135630767406,2.40336034742868
1.50637364106955,2.43050350603068
1.57580962819095,2.43965643160577
1.63861763472348,2.43934081348249
1.69511327879044,2.42797856104445
1.7484527416246,2.40651652866147
1.79895164134925,2.38095146067587
1.84376941485488,2.34686470336173
1.87343751844311,2.31340918229414
1.89142775147002,2.27301006251442
1.89742449581232,2.23734521458389
1.89205898771658,2.19978665791368
1.87848740841558,2.17011855432544
1.85670975790932,2.14802528569591
1.82925098118404,2.13066628891556
1.79863602322597,2.12277583583358
1.763602411542,2.11425414650505
1.72383452800883,2.12056650897063
1.68154169948944,2.1376098876277
1.64398314281923,2.16759360933921
1.61494627547755,2.20673025662582
1.59411547934113,2.25312612074784
1.58054390004013,2.3004688392397
1.58117513628669,2.347180321485
1.58969682561523,2.39294494936047
1.61147447612148,2.44249699471529
1.64366752469595,2.49015533133043
1.68627597133862,2.52708265175408
1.73204059921409,2.5599069365751
1.77401780961021,2.58768133142366
1.82167614622535,2.60251538321778
1.87501560905951,2.61640258064205
1.92961754438679,2.62523988809387
1.99400364153572,2.62555550621715
2.05176175809579,2.61640258064205
2.10352313031356,2.59336245764268
2.14202854135361,2.56716615341052
2.17422158992807,2.53528872295933
2.20073351228351,2.50057072939863
2.21967059968026,2.46395902709826
2.23134847024158,2.42703170667461
2.22408925340617,2.39357618560703
2.21178014659828,2.36327684577224
2.18716193298251,2.3427616677591
2.16159686499691,2.3276119978417
2.13319123390179,2.3156185091571
2.10131380345061,2.31624974540366
2.0681739005063,2.32129963537612
2.0366120881784,2.33139941532105
2.00789083896,2.34781155773156
1.97696026287865,2.37337662571717
1.95171081301633,2.40746338303131
1.93782361559205,2.44912497530415
1.92993316251007,2.49583645754945
1.93372057998942,2.54444164853443
1.93971732433172,2.58484076831415
1.95865441172846,2.62555550621715
1.98106329848128,2.66784833473654
2.01609691016526,2.71203487199561
2.06722704613647,2.75022466491238
2.116463473368,2.77768344163766
2.16254371936675,2.79662052903441
2.20925520161205,2.80703592710262
2.25659792010391,2.81366390769148
2.30394063859577,2.82123874265017
2.35980504641617,2.81745132517082
2.41535383611328,2.80987649021213
2.46080284586547,2.79314872967834
2.49773016628912,2.77200231541864
2.52897636049375,2.74328106620024
2.55454142847936,2.71298172636545
2.5734785158761,2.68141991403754
2.58515638643743,2.65175181044931
2.59273122139612,2.62334617935419
