时间单位:mS, 转换单位: 毫伏
Index	  Tims        AI00      AI01      
   166    0.66400   2764.28   2702.94 
   167    0.66800   2779.54   2718.51 
   168    0.67200   2794.80   2734.99 
   169    0.67600   2813.11   2750.85 
   170    0.68000   2831.12   2766.42 
   171    0.68400   2849.12   2781.07 
   172    0.68800   2868.65   2795.10 
   173    0.69200   2886.96   2802.73 
   174    0.69600   2907.10   2814.33 
   175    0.70000   2928.77   2825.32 
   176    0.70400   2947.39   2834.17 
   177    0.70800   2969.67   2842.41 
   178    0.71200   2991.64   2850.65 
   179    0.71600   3014.22   2857.06 
   180    0.72000   3038.02   2864.07 
   181    0.72400   3054.50   2868.04 
   182    0.72800   3075.56   2872.62 
   183    0.73200   3098.14   2878.11 
   184    0.73600   3119.51   2880.86 
   185    0.74000   3141.17   2882.69 
   186    0.74400   3162.84   2885.74 
   187    0.74800   3183.90   2886.35 
   188    0.75200   3208.01   2880.86 
   189    0.75600   3229.98   2879.33 
   190    0.76000   3251.04   2874.45 
   191    0.76400   3273.01   2870.18 
   192    0.76800   3294.37   2865.60 
   193    0.77200   3314.51   2859.80 
   194    0.77600   3337.10   2853.70 
   195    0.78000   3356.93   2844.54 
   196    0.78400   3370.36   2836.00 
   197    0.78800   3389.28   2827.76 
   198    0.79200   3408.20   2817.38 
   199    0.79600   3425.90   2807.92 
   200    0.80000   3351.14   2524.11 
   201    0.80400   1820.37   2359.01 
   202    0.80800    824.28   1960.75 
   203    0.81200    738.22   1798.10 
   204    0.81600    744.63   1753.23 
   205    0.82000    748.29   1755.37 
   206    0.82400    747.07   1776.12 
   207    0.82800    743.41   1811.83 
   208    0.83200    740.97   1855.16 
   209    0.83600    743.10   1903.38 
   210    0.84000    741.88   1958.01 
   211    0.84400    730.59   2013.24 
   212    0.84800    740.36   2068.79 
   213    0.85200    756.53   2128.91 
   214    0.85600    777.59   2186.89 
   215    0.86000    800.78   2245.48 
   216    0.86400    827.94   2304.38 
   217    0.86800    861.51   2355.04 
   218    0.87200    898.74   2408.75 
   219    0.87600    940.55   2461.85 
   220    0.88000    986.02   2509.46 
   221    0.88400   1033.33   2557.98 
   222    0.88800   1085.21   2603.76 
   223    0.89200   1142.88   2644.65 
   224    0.89600   1206.97   2686.16 
   225    0.90000   1264.34   2720.34 
   226    0.90400   1327.82   2750.24 
   227    0.90800   1393.13   2777.10 
   228    0.91200   1461.79   2799.68 
   229    0.91600   1528.63   2820.74 
   230    0.92000   1597.29   2836.91 
   231    0.92400   1667.18   2846.98 
   232    0.92800   1735.84   2850.34 
   233    0.93200   1806.64   2853.39 
   234    0.93600   1876.53   2851.56 
   235    0.94000   1940.61   2845.76 
   236    0.94400   2006.23   2835.08 
   237    0.94800   2069.70   2820.74 
   238    0.95200   2132.57   2805.18 
   239    0.95600   2192.38   2783.81 
   240    0.96000   2242.13   2762.45 
   241    0.96400   2294.92   2735.90 
   242    0.96800   2343.14   2707.52 
   243    0.97200   2387.70   2677.92 
   244    0.97600   2430.73   2645.57 
   245    0.98000   2468.57   2612.92 
   246    0.98400   2500.92   2572.94 
   247    0.98800   2531.43   2533.57 
   248    0.99200   2557.37   2495.42 
   249    0.99600   2578.43   2456.05 
   250    1.00000   2597.05   2415.77 
   251    1.00400   2611.39   2374.88 
   252    1.00800   2622.38   2335.21 
   253    1.01200   2632.14   2294.31 
   254    1.01600   2625.12   2253.42 
   255    1.02000   2623.29   2215.27 
   256    1.02400   2617.19   2179.26 
   257    1.02800   2607.42   2140.20 
   258    1.03200   2594.91   2106.32 
   259    1.03600   2577.51   2073.67 
   260    1.04000   2555.85   2040.71 
   261    1.04400   2531.74   2006.84 
   262    1.04800   2506.41   1981.81 
   263    1.05200   2478.33   1955.26 
   264    1.05600   2445.37   1933.90 
   265    1.06000   2412.11   1915.28 
   266    1.06400   2378.54   1898.80 
   267    1.06800   2344.97   1888.12 
   268    1.07200   2303.77   1877.44 
   269    1.07600   2263.79   1871.64 
   270    1.08000   2226.26   1869.51 
   271    1.08400   2187.50   1871.95 
   272    1.08800   2151.49   1876.22 
   273    1.09200   2115.17   1883.54 
   274    1.09600   2080.08   1894.53 
   275    1.10000   2044.68   1902.16 
   276    1.10400   2011.72   1916.20 
   277    1.10800   1980.59   1932.98 
   278    1.11200   1950.38   1953.13 
   279    1.11600   1919.86   1974.49 
   280    1.12000   1893.62   1999.21 
   281    1.12400   1871.64   2027.59 
   282    1.12800   1849.06   2056.27 
   283    1.13200   1822.51   2086.18 
   284    1.13600   1806.64   2119.75 
   285    1.14000   1792.60   2155.15 
   286    1.14400   1779.17   2190.55 
   287    1.14800   1768.19   2228.70 
   288    1.15200   1761.47   2267.46 
   289    1.15600   1755.07   2300.11 
   290    1.16000   1755.37   2339.78 
   291    1.16400   1757.20   2380.37 
   292    1.16800   1758.12   2419.13 
   293    1.17200   1766.05   2459.11 
   294    1.17600   1774.29   2501.83 
   295    1.18000   1786.19   2542.11 
   296    1.18400   1798.71   2584.53 
   297    1.18800   1811.52   2627.26 
   298    1.19200   1832.58   2670.29 
   299    1.19600   1854.55   2710.88 
   300    1.20000   1875.92   2751.77 
   301    1.20400   1903.69   2793.88 
   302    1.20800   1932.98   2836.91 
   303    1.21200   1963.50   2868.35 
   304    1.21600   2000.12   2907.71 
   305    1.22000   2039.49   2944.03 
   306    1.22400   2077.03   2976.68 
   307    1.22800   2117.61   3009.64 
   308    1.23200   2161.25   3042.60 
   309    1.23600   2208.25   3067.63 
   310    1.24000   2253.42   3094.48 
   311    1.24400   2297.06   3117.37 
   312    1.24800   2347.11   3139.95 
   313    1.25200   2395.63   3159.18 
   314    1.25600   2442.93   3175.66 
   315    1.26000   2491.46   3191.83 
   316    1.26400   2541.20   3208.31 
   317    1.26800   2591.25   3213.50 
   318    1.27200   2642.52   3222.66 
   319    1.27600   2693.79   3227.54 
   320    1.28000   2744.45   3230.59 
   321    1.28400   2793.88   3231.51 
   322    1.28800   2843.63   3227.84 
   323    1.29200   2892.46   3226.01 
   324    1.29600   2937.62   3219.91 
   325    1.30000   2984.31   3211.98 
   326    1.30400   3031.62   3202.21 
   327    1.30800   3075.87   3190.00 
   328    1.31200   3115.23   3173.83 
   329    1.31600   3155.21   3157.96 
   330    1.32000   3195.80   3141.48 
   331    1.32400   3235.17   3117.98 
   332    1.32800   3272.71   3095.70 
   333    1.33200   3306.58   3068.85 
   334    1.33600   3336.18   3043.52 
   335    1.34000   3367.31   3013.92 
   336    1.34400   3396.61   2987.06 
   337    1.34800   3426.82   2958.98 
   338    1.35200   3443.60   2927.25 
   339    1.35600   3462.52   2895.51 
   340    1.36000   3482.06   2864.07 
   341    1.36400   3501.59   2832.03 
   342    1.36800   3514.40   2797.55 
   343    1.37200   3526.00   2765.50 
   344    1.37600   3536.99   2729.19 
   345    1.38000   3544.92   2692.57 
   346    1.38400   3552.25   2656.86 
   347    1.38800   3553.77   2619.93 
   348    1.39200   3552.25   2581.48 
   349    1.39600   3552.55   2550.66 
   350    1.40000   3551.94   2517.09 
   351    1.40400   3547.97   2480.77 
   352    1.40800   3534.55   2447.51 
   353    1.41200   3524.48   2413.94 
   354    1.41600   3511.66   2382.81 
   355    1.42000   3500.06   2354.13 
   356    1.42400   3482.97   2324.52 
   357    1.42800   3465.27   2297.36 
   358    1.43200   3450.32   2268.98 
   359    1.43600   3432.31   2241.52 
   360    1.44000   3411.87   2214.05 
   361    1.44400   3390.20   2189.03 
   362    1.44800   3367.00   2166.75 
   363    1.45200   3345.64   2146.00 
   364    1.45600   3322.75   2125.85 
   365    1.46000   3295.59   2106.32 
   366    1.46400   3266.30   2088.62 
   367    1.46800   3238.22   2075.20 
   368    1.47200   3212.28   2063.29 
   369    1.47600   3185.12   2052.61 
   370    1.48000   3157.04   2041.93 
   371    1.48400   3129.27   2034.00 
   372    1.48800   3101.20   2024.84 
   373    1.49200   3074.34   2018.43 
   374    1.49600   3048.71   2015.69 
   375    1.50000   3016.97   2011.11 
   376    1.50400   2991.33   2010.80 
   377    1.50800   2967.53   2014.47 
   378    1.51200   2944.64   2016.91 
   379    1.51600   2914.43   2021.18 
   380    1.52000   2887.88   2026.37 
   381    1.52400   2863.77   2031.56 
   382    1.52800   2840.88   2041.93 
   383    1.53200   2820.43   2055.66 
   384    1.53600   2799.07   2067.26 
   385    1.54000   2775.27   2072.14 
   386    1.54400   2755.43   2087.40 
   387    1.54800   2738.65   2103.27 
   388    1.55200   2720.03   2117.92 
   389    1.55600   2706.91   2134.09 
   390    1.56000   2691.96   2151.79 
   391    1.56400   2680.36   2171.63 
   392    1.56800   2668.46   2191.47 
   393    1.57200   2654.42   2211.91 
   394    1.57600   2645.57   2232.97 
   395    1.58000   2639.16   2254.03 
   396    1.58400   2631.84   2276.92 
   397    1.58800   2628.48   2301.64 
   398    1.59200   2626.04   2321.78 
   399    1.59600   2621.46   2338.87 
   400    1.60000   2619.32   2362.06 
   401    1.60400   2621.15   2385.56 
   402    1.60800   2623.90   2407.53 
   403    1.61200   2626.65   2427.37 
   404    1.61600   2631.23   2449.95 
   405    1.62000   2639.16   2474.37 
   406    1.62400   2642.21   2497.25 
   407    1.62800   2646.79   2515.56 
   408    1.63200   2654.42   2536.93 
   409    1.63600   2663.57   2559.81 
   410    1.64000   2675.17   2582.40 
   411    1.64400   2687.99   2604.98 
   412    1.64800   2698.97   2616.58 
   413    1.65200   2707.21   2632.45 
   414    1.65600   2722.17   2652.28 
   415    1.66000   2738.04   2672.73 
   416    1.66400   2753.91   2689.21 
   417    1.66800   2768.86   2704.47 
